per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio;tasa_ret_1er_anio2;tasa_ret_2do_anio3
6;0.4635416666666667;9;2;31;0.8571428571428896;0.6642857142857144;0.6842875612191115;0,664285714;0,684287561
6;0.4739583333333333;9;2;11;0.8571428571428896;0.581306990881459;0.4002060473066287;0,581306991;0,400206047
6;0.4791666666666667;8;2;32;0.8571428571428896;0.6228926353149957;0.497315544409366;0,622892635;0,497315544
6;0.49999999999999994;6;2;37;0.8571428571428896;0.642857142857143;0.5876423837300493;0,642857143;0,587642384
6;0.5208333333333333;1;2;45;0.8571428571428896;0.5233309404163677;0.5857585612134777;0,52333094;0,585758561
6;0.5260416666666666;6;2;47;0.8571428571428896;0.5778575603239544;0.5857585612134777;0,57785756;0,585758561
6;0.5312499999999999;6;2;46;0.8571428571428896;0.5230154003233216;0.5857585612134777;0,5230154;0,585758561
6;0.5416666666666666;0;2;55;0.8571428571428896;0.4315536139377927;0.5857585612134777;0,431553614;0,585758561
6;0.5468749999999999;0;2;56;0.8571428571428896;0.5796532962166268;0.5857585612134777;0,579653296;0,585758561
6;0.5520833333333333;9;2;57;0.8571428571428896;0.1153846153846152;0.5857585612134777;0,115384615;0,585758561
6;0.5572916666666666;0;2;58;0.8571428571428896;0.14285714285714302;0.5857585612134777;0,142857143;0,585758561
6;0.5624999999999999;0;2;53;0.8571428571428896;0.4504474643685781;0.5857585612134777;0,450447464;0,585758561
6;0.5677083333333333;4;2;54;0.8571428571428896;0.5836076366030283;0.5857585612134777;0,583607637;0,585758561
6;0.5729166666666666;9;2;59;0.8571428571428896;0.642857142857143;0.5857585612134777;0,642857143;0,585758561
6;0.5885416666666666;0;2;63;0.8571428571428896;0.5087719298245614;0.5857585612134777;0,50877193;0,585758561
6;0.5937499999999999;9;2;64;0.8571428571428896;0.3497180110725928;0.5857585612134777;0,349718011;0,585758561
6;0.5989583333333333;2;2;65;0.8571428571428896;0.6272862086010875;0.5857585612134777;0,627286209;0,585758561
6;0.6041666666666666;9;2;66;0.8571428571428896;0.1858076563958917;0.5857585612134777;0,185807656;0,585758561
6;0.6093749999999999;0;2;68;0.8571428571428896;0.3995508723441008;0.5857585612134777;0,399550872;0,585758561
6;0.6145833333333333;0;2;69;0.8571428571428896;0.4873049862343224;0.5857585612134777;0,487304986;0,585758561
6;0.6197916666666666;6;2;70;0.8571428571428896;0.5240401245243862;0.5857585612134777;0,524040125;0,585758561
6;0.6249999999999999;2;2;71;0.8571428571428896;0.3820598006644518;0.5857585612134777;0,382059801;0,585758561
6;0.6302083333333333;2;2;72;0.8571428571428896;0.3721804511278195;0.5857585612134777;0,372180451;0,585758561
6;0.6354166666666666;9;2;73;0.8571428571428896;0.30594549958711825;0.5857585612134777;0,3059455;0,585758561
6;0.6406249999999999;9;2;74;0.8571428571428896;0.41666666666666674;0.5857585612134777;0,416666667;0,585758561
6;0.6510416666666666;8;2;76;0.8571428571428896;0.5646777642668457;0.7322330506088903;0,564677764;0,732233051
6;0.6562499999999999;8;2;77;0.8571428571428896;0.6897321428571428;0.5857585612134777;0,689732143;0,585758561
6;0.6666666666666666;0;2;79;0.8571428571428896;0.46374575748225855;0.5857585612134777;0,463745757;0,585758561
