per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;fecha_act;coho_tit;per_tit_carr;prom_ing_4to_anio:tit
2022-2023;101;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;Septiembre de 2022;2013;2017;713612.3287076666
2022-2023;102;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;Septiembre de 2022;2013;2017;1020662.3868685
2022-2023;103;Tecnología;Institutos Profesionales;Técnico en Electromecánica;Septiembre de 2022;2013;2017;1005841.3136716667
2022-2023;104;Salud;Institutos Profesionales;Técnico en Enfermería;Septiembre de 2022;2013;2017;715729.5193725
2022-2023;105;Salud;Institutos Profesionales;Técnico en Farmacia;Septiembre de 2022;2013;2017;s/i
2022-2023;106;Arte y Arquitectura;Institutos Profesionales;Técnico en Fotografía;Septiembre de 2022;2013;2017;s/i
2022-2023;107;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;Septiembre de 2022;2013;2017;621556.1766518333
2022-2023;108;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;Septiembre de 2022;2013;2017;s/i
2022-2023;109;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;Septiembre de 2022;2013;2017;1260931.20029
2022-2023;110;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;Septiembre de 2022;2013;2017;635756.681529
