per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_tit;tit_mujeres;tit_hombres;tit_total
2023-2024;71;Tecnología;Instituto Profesional;Ingeniería en Computación e Informática;2022;228;1852.0;2080
2023-2024;72;Tecnología;Instituto Profesional;Ingeniería en Conectividad y Redes;2022;47;587.0;634
2023-2024;73;Tecnología;Instituto Profesional;Ingeniería en Construcción;2022;298;1011.0;1309
2023-2024;74;Tecnología;Instituto Profesional;Ingeniería en Electricidad;2022;64;1052.0;1116
2023-2024;75;Administración y Comercio;Instituto Profesional;Ingeniería en Finanzas;2022;304;163.0;467
2023-2024;76;Ciencias Básicas;Instituto Profesional;Ingeniería en Geomensura y Cartografía;2022;49;155.0;204
2023-2024;77;Ciencias Sociales;Instituto Profesional;Ingeniería en Gestión Pública;2022;281;105.0;386
2023-2024;78;Administración y Comercio;Instituto Profesional;Ingeniería en Logística;2022;303;412.0;715
2023-2024;79;Administración y Comercio;Instituto Profesional;Ingeniería en Marketing;2022;409;339.0;748
2023-2024;80;Tecnología;Instituto Profesional;Ingeniería en Mecánica Automotriz;2022;106;2565.0;2671
2023-2024;81;Tecnología;Instituto Profesional;Ingeniería en Medio Ambiente;2022;125;84.0;209
2023-2024;82;Tecnología;Instituto Profesional;Ingeniería en Metalurgia;2022;42;71.0;113
2023-2024;83;Tecnología;Instituto Profesional;Ingeniería en Minas;2022;196;390.0;586
2023-2024;84;Tecnología;Instituto Profesional;Ingeniería en Prevención de Riesgos;2022;1072;1136.0;2208
2023-2024;85;Tecnología;Instituto Profesional;Ingeniería en Química;2022;69;55.0;124
2023-2024;86;Administración y Comercio;Instituto Profesional;Ingeniería en Recursos Humanos;2022;1279;387.0;1666
2023-2024;87;Tecnología;Instituto Profesional;Ingeniería en Refrigeración y Climatización;2022;3;88.0;91
2023-2024;88;Administración y Comercio;Instituto Profesional;Ingeniería en Seguridad Privada;2022;132;539.0;671
2023-2024;89;Tecnología;Instituto Profesional;Ingeniería en Sonido;2022;18;149.0;167
2023-2024;90;Tecnología;Instituto Profesional;Ingeniería en Telecomunicaciones;2022;35;323.0;358
2023-2024;91;Tecnología;Instituto Profesional;Ingeniería Industrial;2022;72;509.0;581
2023-2024;92;Tecnología;Instituto Profesional;Ingeniería Mecánica;2022;38;838.0;876
2023-2024;93;Salud;Instituto Profesional;Kinesiología;2022;186;102.0;288
2023-2024;94;Arte y Arquitectura;Instituto Profesional;Música, Canto o Danza;2022;54;137.0;191
2023-2024;97;Educación;Instituto Profesional;Psicopedagogía;2022;1446;102.0;1548
2023-2024;98;Ciencias Sociales;Instituto Profesional;Publicidad;2022;197;175.0;372
2023-2024;100;Ciencias Sociales;Instituto Profesional;Relaciones Públicas;2022;141;53.0;194
2023-2024;101;Agropecuaria;Instituto Profesional;Técnico Agropecuario;2022;83;109.0;192
2023-2024;102;Educación;Instituto Profesional;Técnico Asistente del Educador de Párvulos;2022;3169;2.0;3171
2023-2024;103;Educación;Instituto Profesional;Técnico Asistente del Educador Diferencial;2022;1318;31.0;1349
2023-2024;104;Salud;Instituto Profesional;Técnico Dental y Asistente de Odontología;2022;855;85.0;940
2023-2024;105;Administración y Comercio;Instituto Profesional;Técnico en Administración de Empresas;2022;2513;1376.0;3889
2023-2024;106;Administración y Comercio;Instituto Profesional;Técnico en Administración de Recursos Humanos y Personal;2022;623;156.0;779
2023-2024;107;Tecnología;Instituto Profesional;Técnico en Administración de Redes y Soporte;2022;20;245.0;265
2023-2024;108;Administración y Comercio;Instituto Profesional;Técnico en Administración de Ventas;2022;16;7.0;23
2023-2024;109;Administración y Comercio;Instituto Profesional;Técnico en Administración Financiera y Finanzas;2022;452;245.0;697
2023-2024;110;Ciencias Sociales;Instituto Profesional;Técnico en Administración Pública o Municipal;2022;302;195.0;497
2023-2024;111;Tecnología;Instituto Profesional;Técnico en Alimentos;2022;34;13.0;47
2023-2024;114;Administración y Comercio;Instituto Profesional;Técnico en Comercio Exterior;2022;132;104.0;236
2023-2024;115;Tecnología;Instituto Profesional;Técnico en Computación e Informática;2022;189;1158.0;1347
2023-2024;116;Arte y Arquitectura;Instituto Profesional;Técnico en Comunicación Audiovisual;2022;71;170.0;241
2023-2024;117;Tecnología;Instituto Profesional;Técnico en Construcción y Obras Civiles;2022;200;983.0;1183
2023-2024;118;Administración y Comercio;Instituto Profesional;Técnico en Contabilidad General;2022;799;347.0;1146
2023-2024;119;Administración y Comercio;Instituto Profesional;Técnico en Contabilidad Tributaria;2022;493;223.0;716
2023-2024;120;Educación;Instituto Profesional;Técnico en Deporte, Recreación y Preparación Física;2022;238;673.0;911
2023-2024;121;Arte y Arquitectura;Instituto Profesional;Técnico en Dibujo Arquitectónico;2022;92;121.0;213
2023-2024;122;Arte y Arquitectura;Instituto Profesional;Técnico en Diseño Gráfico;2022;89;71.0;160
2023-2024;123;Tecnología;Instituto Profesional;Técnico en Electricidad y Electricidad Industrial;2022;49;957.0;1006
2023-2024;124;Tecnología;Instituto Profesional;Técnico en Electromecánica;2022;12;153.0;165
2023-2024;126;Salud;Instituto Profesional;Técnico en Enfermería;2022;4413;736.0;5149
2023-2024;127;Salud;Instituto Profesional;Técnico en Farmacia;2022;137;54.0;191
2023-2024;129;Administración y Comercio;Instituto Profesional;Técnico en Gastronomía y Cocina;2022;262;216.0;478
2023-2024;130;Ciencias Básicas;Instituto Profesional;Técnico en Geología;2022;37;38.0;75
2023-2024;131;Tecnología;Instituto Profesional;Técnico en Instrumentación, Automatización y Control Industrial;2022;39;602.0;641
2023-2024;132;Salud;Instituto Profesional;Técnico en Laboratorio Clínico;2022;251;48.0;299
2023-2024;133;Administración y Comercio;Instituto Profesional;Técnico en Logística;2022;347;712.0;1059
2023-2024;134;Tecnología;Instituto Profesional;Técnico en Mantenimiento Industrial;2022;8;279.0;287
