per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;per_tit_carr;tasa_emp
2019-2020;100;Humanidades;Institutos Profesionales;Técnico en Bibliotecas y Centros de Documentación;1er año;0.821735632183908
2019-2020;101;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;1er año;0.7982201834862385
2019-2020;102;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;1er año;0.7190424296560964
2019-2020;103;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;1er año;0.41748821548821546
2019-2020;104;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;1er año;0.6317120154105466
2019-2020;105;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;1er año;0.761465788510794
2019-2020;106;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;1er año;0.7781355140186916
2019-2020;107;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;1er año;0.4001937351038474
2019-2020;108;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;1er año;0.6655722891566265
2019-2020;109;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;1er año;0.40686541471048515
2019-2020;110;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;1er año;0.7489001319841619
2019-2020;111;Tecnología;Institutos Profesionales;Técnico en Electromecánica;1er año;0.721168815943728
2019-2020;112;Salud;Institutos Profesionales;Técnico en Enfermería;1er año;0.5520021920969138
2019-2020;113;Arte y Arquitectura;Institutos Profesionales;Técnico en Fotografía;1er año;0.3309117647058824
2019-2020;114;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;1er año;0.45248780487804885
2019-2020;115;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;1er año;0.7781420118343195
2019-2020;116;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;1er año;0.48410316529894487
2019-2020;117;Administración y Comercio;Institutos Profesionales;Técnico en Logística;1er año;0.8499090909090908
2019-2020;118;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;1er año;0.7247828746177369
2019-2020;119;Salud;Institutos Profesionales;Técnico en Masoterapia;1er año;0.34289071856287423
2019-2020;120;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;1er año;0.6207284157585918
2019-2020;121;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;1er año;0.26035616438356163
2019-2020;122;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;1er año;0.5336543669908207
2019-2020;123;Ciencias Sociales;Institutos Profesionales;Técnico en Publicidad;1er año;0.6105263157894737
2019-2020;124;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;1er año;0.6292332268370606
2019-2020;125;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;1er año;0.5713694915254237
2019-2020;126;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;1er año;0.4694213627049181
2019-2020;127;Tecnología;Institutos Profesionales;Técnico en Sonido;1er año;0.3732379110251451
2019-2020;128;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;1er año;0.7492877492877493
2019-2020;129;Salud;Institutos Profesionales;Técnico en Terapias Naturales y Naturopatía;1er año;0.30737349397590363
2019-2020;130;Tecnología;Institutos Profesionales;Técnico en Topografía;1er año;0.7780322580645161
2019-2020;131;Humanidades;Institutos Profesionales;Técnico en Traducción e Interpretariado;1er año;0.5493114754098362
2019-2020;132;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;1er año;0.408870781099325
2019-2020;133;Derecho;Institutos Profesionales;Técnico Jurídico;1er año;0.5635256222547584
2019-2020;134;Salud;Institutos Profesionales;Técnico Laboratorista Dental;1er año;0.4645959595959596
2019-2020;135;Agropecuaria;Institutos Profesionales;Técnico Veterinario;1er año;0.4111296703296703
2019-2020;136;Salud;Institutos Profesionales;Terapia Ocupacional;1er año;0.5504954128440367
2019-2020;137;Ciencias Sociales;Institutos Profesionales;Trabajo Social;1er año;0.7095114661932238
2019-2020;138;Humanidades;Institutos Profesionales;Traducción e Interpretación;1er año;0.526875
2019-2020;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2do año;0.7264262295081968
2019-2020;2;Salud;Centros de Formación Técnica;Técnico Agente o Visitador Médico;2do año;0.7234959349593496
2019-2020;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2do año;0.5881812035158891
2019-2020;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2do año;0.5111307117750439
2019-2020;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2do año;0.36494857982370227
2019-2020;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2do año;0.639220253164557
2019-2020;7;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2do año;0.7607899308111291
2019-2020;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2do año;0.7448293768545994
2019-2020;9;Tecnología;Centros de Formación Técnica;Técnico en Administración de Redes y Soporte;2do año;0.7791284210526316
2019-2020;10;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2do año;0.8235294117647058
2019-2020;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración Financiera y Finanzas;2do año;0.895016393442623
2019-2020;12;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2do año;0.7933272727272727
2019-2020;13;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2do año;0.7735754716981131
2019-2020;14;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2do año;0.8119629302736099
2019-2020;15;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2do año;0.6523521965748325
2019-2020;16;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2do año;0.7767562557924004
2019-2020;17;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2do año;0.432238714613619
2019-2020;18;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Dibujo Arquitectónico;2do año;0.7922622950819671
2019-2020;19;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2do año;0.788012012012012
2019-2020;20;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2do año;0.8070906432748537
2019-2020;21;Salud;Centros de Formación Técnica;Técnico en Enfermería;2do año;0.6942437640992587
2019-2020;22;Salud;Centros de Formación Técnica;Técnico en Farmacia;2do año;0.8890493827160494
2019-2020;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2do año;0.4721215638362859
2019-2020;24;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;2do año;0.6387225806451613
2019-2020;25;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2do año;0.8569679653679654
2019-2020;26;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2do año;0.6869746707193516
2019-2020;27;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2do año;0.871912938331318
2019-2020;28;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;2do año;0.7936560612162707
2019-2020;29;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;2do año;0.7165200855716662
2019-2020;30;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;2do año;0.8092553846153846
2019-2020;31;Tecnología;Centros de Formación Técnica;Técnico en Minería y Metalurgia;2do año;0.7101978319783198
2019-2020;32;Salud;Centros de Formación Técnica;Técnico en Podología;2do año;0.4621
2019-2020;33;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;2do año;0.5868081757014092
2019-2020;34;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;2do año;0.7860895522388059
2019-2020;35;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2do año;0.7438423645320197
2019-2020;36;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);2do año;0.8084011976047903
2019-2020;37;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;2do año;0.8173783783783785
2019-2020;38;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;2do año;0.8569761904761904
